Character name,"Character race (human, orc, halfling, etc)","Character class (wizard, bard, cleric, etc)"
Captain Hatsune Miku,Tiefling,Barbarian
Juma,Human,Barbarian
Captain Industry,Firbolg,Ranger
Aelar,Elf,Wizard
Misizi Velaphi,Half-Orc,Occultist
Erdenichimex,Dragon,Dragon
Vanderlose,Human,Bard
Junker Vanderlose Tûr,Human,Bard
Wegilld kuiveae,Human ,Rouge
Crenko,Half-elf,Warlock
T'swizzle,Orc,Rogue
Kaala,half elf,paladin
Cayde Cailean,Changeling,Witch
Tony,Dwarf,Fighter
Malachi,Dragonborn,Sorcerer 
Artemus,Half Elf,Druid
Junker Caz,Human,Fighter
Dis Pater,Tifeling,Wizard 
Araquirelle,Elf,Rogue
Grodan,Orc,Barbarian
Asmagnar Lacsun,Human,Magus
Bean,gnome,wizard
Lily,Human,Fighter
Davos,half elf,warlock
Moro the Infinitely Fiery,Human,Wizard 
Frisna,half elf,druid
Zyra,half elf,nature cleric
El Burrito,Humman,Ninja 
Trass of Frost,Human,Sorcerer
Arantzazu,Kobold,Sorcerer
Lychaera,half elf ,rogue
Amaia,Dragon,Dragon
Gling,Gnome ,Wizard
Edler Awrkhay Tûr,Human,Fighter
Javel McGetuck,Dwarf,Fighter
"Coleridge ""Skystrike"" Gray",Elf,Cleric
Sir Richard the Chaste,Human,Paladin
Landgrave Carl Tayo of Newt-Ownsing,Human,Rogue
Mozark Boom,Half-orc,Alchemist
Hemlock,Tree (hemlock),Warlock
Ellro Treetoucher ,Elf ,Druid
Jacob Ronja,Human,Rogue
Sirron-Kcuhc,Tiefling,Warlock
Issandre,Elf,Wizard
Lhurn the spell eater,Skeleton ,Barbarian
Helia Stormseeker,Half-Elf,Rogue
Siri Gelanam,Elf,Theif
Trogdor the Burninator,Dragonborn,Bard
Harlow,Elf,Warlock
Rooster,Human,Wizard
Tok,Half-orc,Barbarian
Elmo,Dragonborn,Barbarian
Dorn Highcroft,Sylvan,Fighter
Azreal ,Aasimar,Cleric 
Evallenor Geloran,Half elf,Shadow Sorcerer
Melf,Elf,Wizard 
Auric Hirsch,Human,Synthesist summoner
Stabitha Backs,Half elf,Rogue 
Jim HammerHaver,Human,Paladin
Wiimba Way,Human,Monk
Aldrich,Half elf,Druid 
M'dock,Half orc,Blind monk
Ekir Blackblade,Human,Magus
Silas Illudo,Human,Sorcerer
Felicity Newberry,Half-orc,Rogue
Cordellia,Human,Sorcerer
Quincy,Hunan,Cleric
Garthion Fellothdal,Half-elf,Wizard
Pips,Goliath,Fighter
Nanu Amisi,Human,Monk
Ben Maledict,Bugbear,Rogue
Saphira Bloodshed,Halfling,Thief
Ulfgar Frostbeard,Dwarf,Paladin
Mimosa Greenbottle,Halfling,Druid
Glib Glab Glub,Gnome,Paladin
"Adis the Golden Conqueror, Champion of Noremos, The Grand Death",Human/living plague,Paladin
Publius,Elf,Wizard
Althena Sunniva,Human,Wizard
Molok,Tiefling,Priest
Galadriel of the Wild,Elf,Ranger
Kiver!,Dragonborn,Sorcerer
Azreal,Human,Cleric
Hanzo,Tabaxi,Monk
Unnamed Arrogate,Human,Cleric + Warlock
Hayden Ginvere,Human,Bard
Innocent IV,Dwarf,Cleric
Frank Wildyear,Half Elf,Bard
Marco Damascar,Human,Bard
Siluvayne,Elf,
Sunny,Half-Orc,Paladin
Stormy,Half-Orc,Barbarian
Drumm Starkarmour,Dwarf,Fighter
Flynn Donat,Half-Elf,Swashbuckler
Trvdi Trvdy,Human,Paladin
Ramas Nathandom,Human,Cleric
Aboab Reskuh,Dragonborn,Fighter
Hemmit blundershite,Goliath,Shaman
Callida Saevia,Human,Ranger assassin
Deianira Sunstorm,human,bard
Urist McStronginthearmsson,Dwarf,Cleric
Austin,Orc,Wizard 
Kalerian,Human,Cleric
Brigheibh,human,paladin
Eathe,Dwarf,Fighter
Keane,Elf,Bard
Dimidium Mendax,Half Elf,Beguiler
Valdur Nulener,half elf,ranger
Edriz,Elf,Monk
Olorae ,Dragon born,Psionic Kineticist
Dyonnia,Gnome ,Bard 
Khary Grey,half-elf,fighter-thief
Artie,High elf,Ranger
Naivara Nailo,Drow,Monk
Sayiin Tirell,Human,Rogue
Lucan Amentum ,Firbolg,Wizard
Illocent de Clauseus Van Re,Human,Bard
Jasper the Lewd,Human,Wizard
Cozmo Kindbud,Dwraf,Cleric
Avaine Wellen,Human,Fighter
Ester,Human,Warlock
Cameron William Henrik Fortuna the 8th,Human,Warlock
Theolonius Farnnard,Human,Bard
Dyvilt Grimthorn,Dwarf,Warlock
Tasesk Justice,Tiefling,Paladin
Breena Turen,Gnome,Cleric
Arcistaire Meredith Wilhelm Filius Vestey,Human,Wizard
Vulpis Maladict,Human,Thief
Uzvira Reeal,Human,Wizard
Naeva Arslan,Human,Artificer
Aelya Koris,Human,Paladin
Asima,Human,Fighter
Hadfrir,Orc,Barbarian
Bjorn,Goliath,Barbarian
Rona,Elf,Barbarian
X'enthalade Von Rylann,Elf,Wizard
Rhydian Ty'ear,Elf,Ranger
Dren Burrows,Human,Monk
Dave the Magician the Wizard,Human,Wizard
Thrakk Gunnerson,Dwarf,Fighter
Numenel Ultivanest,Elf,Wizard
Eio Timarsh,Human,Oracle
Rhun Lothar,Half elf,Druid
Mardred Fireforge,Dwarf,Rogue
Abery Gin,Human,Paladin
Sir Isaac Benmont the Blue,Human,Fighter
Kaiyn,Half-elf,Rogue
Alder Lome,Wood Elf,Monk
"Caladram ""Squallcaller"" Presberos",Eladrin,Blade Singer Wizard
Caleran Frostbloom,Wood elf,Hunter
Hjalgran Runeheim Stonesong,Dwarf,Bard
Magnum Danger,Human,Bard
Hus Thoking,Human,Barbarian
Iyori Blackthoryn,Human,Wizard
Iahryn Blackthoryn,Human,Thief
Hallux Blarney Daergel,Gnome,Paladin
Pistoph,Human,Wizard
Bunco Finagle,Halfling,Thief
Colton Bahner Ramshead,Human,Paladin
Nodrin Leafbur,Halfling,Bard
Adeia ,Elf,Wizard
Solanthus,Elf,Wizard
Bronzobaran,Human,Barbarian
Eruin,Elf,Cleric
Radamanthys,Human,wizard
Lissanne,Human,Cleric
Adeia ,Halfling ,Paladin 
Yrik,Bullywug,Rogue
Ylira,Elf,Arcanist
Rosetta,Human,Bard
Amaryllis,Human,Paladin
Angel,Human,Wizard
Wendolyn,Half-Elf,Warlock
Kith-Oth Kahn,Minotaur,Cleric
McCaw,Kenku,Sorceror
Hakon,Human,Barbarian
Juno,Human,Warrior
Bolkion,Human,Warrior
Amadeas,Human,Warrior
Dreme Weavespinner,Half-elf,Bard
Tramontane,Elf,Druid
Synabar,Elf,Wizard
Digger,Dwarf,Cleric
Mike Jones,Human,Heck Farter
Farnibus,Midget,Wrestler
Hector,Human,Fighter
Dangerous Dave,Dave,Summoner
Eldar,Dwarf,Fighter
Zora Bersk,Human,Rogue
Berethren Silverleaf,Elf,Wizard
Sriracha,Half elf,Sorcerer
Boron Penrose,Deep Imaskari,Enchanter
Gerrick Tempuosto,Half orc,Cleric
Adenn Grey,human,mage
Bungo Hildago,Halfling,Cleric
Englebert Ranseur,Human,Fighter
Beladan Girithlin,human,paladin
Mii Inas,Human,Fighter
Cletus,Human,Fighter
Seraph Korrin,Half-Elf,Druid
Saeros,elf,wizard
Hiro,Aasimar,Rogue
Aerodus Jheltro ,Human,Thief/bard/noble scion
Salvatrix,Aasimar,Artificer
Nina,Halfling,Monk
Rekka Bashensmash,Half-orc,Berserker
Nayeli,Sun elf,Bladesinger
Alexander Stonefel,Dwarf,Fighter
Kili,Halfling,Sorcerer 
Fiammetta di Garazzolo,Fire genasi,Paladin
Shula Shaga,Human,Eldritch Knight
‡ak__ka,Aarakocra,Barbarian
Alavandria,Elf,Cleric
Anna Godebert,Human,Paladin
Clara,Tiefling,Warlock
Asher Greenhorn,Dwarf,Ranger
Laszlo Wankershim,Half-elf,Druid
Elain Llywelyn,Human,Battlemaster
Kresh,Half-orc,Paladin
Ere_-ki-gal,Kobold,Cleric
Faye Kanayim,Yuan-ti pureblood,Cleric
Goizargi Abasolo,Human,Cavalier
Hestris,Minotaur,Barbarian
Vivek,Tiefling,Ranger
Kahurangi,Water genasi,Swashbuckler
Kauria Swifthunter Thulakane,Goliath,Ranger
Kiravoc,Human,Wizard
Lily-of-the-Valley,Halfling,Druid
Nuodra,Minotaur,Transmuter
Penumbra,Human,Monk
Avalynn Bunn,Aasimar ,Medium 
Phyrynrae,Half-drow,Cleric
Rakhar,Hobgoblin,Sharpshooter
Lirea Brightwing,Gathlain,Bard
Ravanys,Wood elf,Arcane Archer
Safyx,Rock gnome,Champion
Serielye,Air genasi,Sorcerer
Xsudee Solasson,Human,Cleric 
Lyle High-hill,Half-Orc,Monk
Shonemey Jiryepham,Human,Wizard
Shu'urtu'nishi,Dragonborn,Sorcerer
Sorrow,Aasimar,Warlock
Tera Boulderwall,Earth genasi,Paladin
Sluria Heartbreaker,Human,Serial Killer 
Thelamyara,Eladrin,Bard
Titplate,Warforged,Battlemaster
Arin Tandium,Half-Orc,Paladin
Yevpraksiya Feodorevna Kozlova,Tiefling,Assassin
Dave Steelskim,Half-orc,Fighter 
Almira Liadon,Moon elf,Wizard
Xanfire Lightfoot,Halfling,Bard
Ober Greenmist,Human,Ranger
Jorgan Tevner,Human,Antipaladin
Miralynn Bunn ,Aasimar ,Wizard
Quinn,Aarakocra,Battlemaster
Oswin Stone,Human,Paladin
Scorn,Half-elf,Warlock
Kiffly,Ratling,Bard
Nika Ionesco ,Tengu ,Alchemist 
Milo The Illusionist ,Half-Elf,Bard
Coralynn Bunn ,Aasimar ,Inquisitor 
Rouge,Half-elf,Bard
Analiel,elf,cleric
Sterling,Dragonborn,Ranger
Ivaria,Wood elf,Paladin
Rose Charden,Tiefling ,Rogue
Vermiliel Mauritius Dawnguard,Elf,Paladin
Sabo,Forest gnome,Druid
Satha,human,paladin
Khronos,Half-orc,Barbarian
Barney,Dwarf,Rogue
Drulina Sorensen ,Tiefling ,Warlock 
Varrock,Dragonborn,Warlock
Salia,human,cleric
Potnia Theron,Catfolk,Bard
Atha,Dragonborn,Ranger
Arden,half-elf,cavalier
Illeyra,Half-elf,Rogue
Geoff,human,cavalier
Boner,Human,Stripper
Palomar,halfling,shaman
Dordur,dwarf,fighter
Jack,Half-orc,Fighter
Beckett Barclay,Elf,Wizard
Imiarre,aasimar,sorcerer
Saf Nerigwyn,Half-Elf,Druid
Anderson Merrimort,human,warlock
Baylowen the 7th,Human,Sorcerer 
Istar Sulvana,Elf,Wizard
Quinne Hawke,Human,Rogue
Kybas Chulu,Goblin,Hunter 
Lucas,Gnome,Druid
Devyn Flowers,Human,Fighter
The Iron Sheik ,Human,Monk (Tetori) 
Istria,Gnome,Rogue
Cyvross Lyorys,Tiefling ,Arcanist 
Alena,Dragon,Cleric
Isabella Kane,Dhampir ,Sorcerer 
Aemon the Dragonknight,Human,Fighter 
Sylavain ,Raptoran,Shaman
Morgan,Dragonborn,Wizard
Robin,Human,Bard
Parisa,human,rogue
Yugerd,Half-orc,Fighter
Tan,half-elf,rogue
Aldiny,human,wizard
Gulkesh Saltsong,Dragonborn,Bard
Karin,Half elf,Magus
Eallin,Human ,Ranger
Damon,Human,Bard
Gus T. Ventus,Sylph,Bard
Boris,Dwarf,Cleric
Zindris Slapwith,Gnome,Barbarian 
Gilbert,Human,Noble
Anyanmarellya Geveranhomnasdya,Dwarf,Monk
Rin Kurome,Human,Fighter
"Aardonus ""The Pale""",Dragonborn,Fighter
Byron,Human,Wizard
Alice Verstand,Human,Psion
Captain Corvus Umbranox,Human,Swashbuckler Rogue
Blandly,Human,Cleric
Kasai Makurayami,Tiefling,Warlock
Iason MacShuganah,Human,Wizard
Kalibak Thornwhistle,Human,Thief
Ricard,Half-elf,Bard
Edward,Human,Rogue
Grazumas,Orc,Barbarian
Mandell,Elf,Cleric/Rogue
Sooka,Half-orc,Fighter
Elizabeth Fischer,Human,Fighter/Wizard
Dondodedallio,Dwarf,Bard
Gilmer,Human,Wizard
Avonas,Human,Rogue
Shiloin,Halfling,Druid
Dravan Tiersen,Human,Ranger
Fendranon Fenestram,Human,Magic-User
Joe Matsumori,Human,Monk
everilde,human,warrior
Snare,Elf,Wizard
Evelyn,dragonborn,rogue
Sylvester,dragonborn,rogue
Zarathustra Gatha,Half-orc,Psychic Warrior
Zoyala Colsirdi,human,sorcerer
Teseret Stoneloom,Human,Sorcerer
Ley of Lorne's Tooth,Wood elf,Ranger
Dominic Canungar,half-elf,paladin
Gjiördi Amastacia,Half Elf,Cleric
Bor,Dwarf,Barbarian
Glurr'gh Brokentoof,Half-Orc,Barbarian
Thorril,Human,Fighter
Brodda,Half orc,Fighter
Ixthus,Elf,Wizard
Shandri Nemeia,Tiefling,Rogue
Serena Lightbringer,Elf,Ranger
Aust Moonwhisper,Elf,Rogue
Otto Felsenschneider,Svirfneblin ,Monk
Amir Acewood,Halfelf,Druid
Songwu,Dwarf,Wizard of illusion 
Engra Mai'avel,Drow,Fighter
Hakon,Dwarf,Barbarian
Meriele,Genosi,Swordmage
Nefertai,Wilden,Scout
Tuor Dardanos,Changeling,Rogue
Rom Karza,half elf,ranger
Jhael Xul'kiam,Drow,Necromancer
Liliana,Halfling,Warlock
Tordak the mighty,human,barbarian
The Pantsless Thundergoose,Halfling,Wizard
Berenger,Half-eld,Warlock
One eye,Tiefling ,Warlock 
Idrifel Besson,Half-elf,Bard
STARGH PLATNAMH,Orc,Monk
Marika Vellyn,Half-elf,Wizard
Garren,Human,Rogue
Eiléonoire,Human,Wizard
Rothgar,Human,Barbarian
Cleary ,Halfling,Rogue
Mithrom,Human,Ranger
Valarya ,Drow ,Wizard
Kindara ,Human,Cleric 
Gimmings,Dwarf,Bard
Salazar romano,Human,Barbarian
Kamou ,Orc ,Cleric 
Chris mus,Elf,Warlock
Chris mus,Elf,Warlock
Sunshine n wainbows,Minotaur,Wizard
Branwyn,Human ,Cleric 
Kalistah Nessali,Yuan-ti,Wizard
Melathaxryia,Fey'ri,Warlock
Irumu Wyrmblood,Dragonborn ,Antipaladin 
Figgis O'Shammasey,Half elf,Ranger
Bonilynn Bunn,Aasimar ,Bard (Arcane Duelist) 
Brixid ,Aquatic Elf,monk
Quarlock Klarmonar,Sun Elf,Cleric
Chess,elf,archer
Lowluna Ambershands,gnome,Druid
Knives McGee,Human,rogue
Acrimonius,Human,Sorcerer
Dorian,Half-elf,Druid
Lanovere Dawntracker Valstadht,Elf,Cleric
Phlavious VonLartenharder,Elf,Sorcerer
Dorian Grimstep,Tabaxi,Cleric
Solveig Kampisdottir,Human,Rogue
Dufan axeshin,Hill Dwarf,Paladin
Lianno,Elf,Ranger
Gojeera,Lizardman,Monk
Sorin Stronginthearm,Dwarf,Druid
Khallia,Tabaxi,Monk
Professor Aleric Blevins,Gnome,Wizard
Sicarius,Human,Rogue
Cora Goodbarell,Hobbit,Paladin
Cayde Fal-Ken,Human,Rogue
Brutus Fal-ken,Human,"Fighter, Rogue"
Palindra Ardnilap,Elf,Monk
Fr. Adrian Von Wolf,Vampire,Cleric
Preston,Human,Bard
Gimble Stumbleduck,Gnome,Wizard
Altair Fal-Ken,Human,Rogue
Ulfor,Dwarf,Paladin
The Peek-a-Buddhist,Human,Monk
"Karlak ""Godsmith"" Thuliakapa",Goliath,Paladin
Oyzmandias ,Human,Barbarian
Constantine Kovar,Human,Paladin
Annulindas,Half elf,Sorcerer
Lilac,Half-orc,Fighter
Hanji,Human,Monk
Sonny Blue,Dwarf,Gunslinger
Arrax,Kobold,rogue sorcerer
"Marcus ""Hamon"" Dorian",Human,Warlock
Raviel Orel,Human,Fighter
Gwen Shaver,Human,Wizard
Sam,Human,Cleric
Rorschach,Human,Warlock
Sabi Dashkey,Half-elf,Rogue
Patches,Kobold,Cleric
Ishnan,Elf,Rogue
Busta Chimez,Halfling,Bard
Busta Jawz,Halfling,Monk
Growlbreath Feverroar,halforc,barbarian
Gossan,Warforged,Druid
Prince Paris,high elf,wizard
Knife,Half-elf,Rogue
Hammersmasher Thunderbeard,dwarf,wizard
Rilien Dramorion,Half-elf,Swashbuckler/Bard
Marty Crabapple,human,Bard
Okan Highwind,Elf,Wizard
Loni Firekicker,Dwarf,Fighter
Melisandra de Luca,Human,Psychic
Sanura Taulyr,Drow,Witch/shaman
Arken Tesni,Human,Assassin
Solveig Greywolf,Human,Barbarian
Dovan Akiros,Half-orc,Inquisitor
Havlak ,Human,Ranger
Kessiriel,Eladrin,Fighter
Katerina Marsk,Human,Rogue/Fighter
Jicklet Moonflower,Moon elf,Cleric 
Marguerite,Human,Paladin
Eroria,Human,Wizard
Freddie,Tiefling,Sorcerer
Gwynnion,Half-elf,Mage
Flarg,Dwarf,Thief
Vance,Human,Fighter
Elanil,Elf,Magus
Evantyr,Elf,Fighter Mage
Cassandra,Half-Elf,Cleric
Allegra,Human,Bard
OK Google,dragonborn,fighter
Shrax,Orc,Barbarian
Hulkman the Intruder,Orc,Paladin
Sjögren,Half-orc,Monk
Roscoe,Halfling,Warlock
Bo Borigmi,Halfling,Fighter
Galen the Vain,Half-elf,Rogue 
Kabaka,Half-orc,Druid
Ingrid Ingridsdottir,Goliath,Barbarian
Alf,Gnome,Wizard
Gorod Hammerdeft,Dwarf,Cleric
Oondiv Vadercast,Wood elf,Paladin
Leithl,Half-elf,Rogue
Thrax,Hobgoblin,Wizard
Spencer,Human,Monk
Ping,Dragonborn,Paladin
Wilo Shild Treehugger,Halfling,Ranger
Korth,Lizardfolk,Barbarian
Jerald,Dragonborn ,Fighter
Kalshor Za,Human,Wizard bard
Aloicious,Human,Rogue
Thornwald Durant,Necropolitan,Warlock
Sorreth,Half-Elf,Paladin
Kirito,Human,Fighter
Xtala Metor,Dragonborn,Paladin
Theixon Leoric,Dragonborn,Paladin
Karl Myrthenbaum,human,Paladin
Kazablanc,half-elf,bard
Vanz Ornstag,human,barbarian
Grom,Dragonborn,Monk
Ellaria d'Kemri,Gray Elf,Ranger
Glaukopis Athenaskleia Ergane,Human,Cleric
Azuma,Halfling,Baker
Kevish Roundhand,Half orc,Cleric
Amber Sylvis,Tiefling,Rogue
Akane Oksana Valerion,Human,Wizard
John Doe,Doppelganger,Rouge 
Mia,Human,Healer
Blade Slaughterfist,Human,Barbarian
Mango Redthorne,Half Orc,Barbarian
Keahi Ferel,Human,Rogue
Consent Alabama ,Gnome,Bard
Erir Broadshield,Half-elf,Paladin
Camino deOrian,Half-elf,Ranger
Saithnar,Elf,Rogue
Boken Skullcrusher,Dwarf,Barbarian
Valok se Gol,Saurian,Dragonrider
Venger,Thiefling,Sorceror
Balag,Elf,Ranger
Consensual Chocolate,Human,Druid
Elduin,High Elf,Fighter
Milo Hedgewise,Halfling,Rogue
Rael Evenwood,Half elf,Bard
Bartholomew Hacklewicker,Halfling,Thief
Hugh Coppershield,Dwarf,Fighter
Renkin Whitetalon,Kenku,Bard
Fidget,Changeling,Rogue
Ellundriel,Elf,Ranger
Ixen,Lizardfolk,Warlock
Mr. Good Hands,Firbolg,Ranger
Draegon,Human,Fighter
Hellvillios,Elf,Wizard
Thief,Sylph,Rogue
Auska,Human,Swordmage
Amathia,Elf,Bard
Gorgurth,Drow,Blackguard
Vaana,Elf,Druid
Anrack,Dwarf,Barbarian
Baziz,Dwarf,Binder
Raevori,Elf,Wizard
Leshanna,Elf,Wizard
Melora Blackfingers,Human,Paladin
Samantha Cartwright,Human,Fighter
Dax,Half elf,Bard
Dame Embra Swift,Human,Eldritch knight
Nish amberstagg,Tiefling,Warlock
Kailuth,Half elf,Arcanist/swashbuckler
Krotin o'lid 3,Illithid,Wizard
Hyta Chamerion ,Dwarf,Barbarian
Pendal zomte,Tiefling,Fighter
Valor,gold dwarf,paladin
Glynn Jernigan,Human,Bard
Doctor Black,human,swordmage-warlock
Harlock Morro,Half Elf,Wizard
Kamire,half-dwarf,pathfinder ranger
Elissa,halfling,bard
Exley,human,rogue
Beldak,Human ,Rogue
Andarion,Half elf,Ranger
Iozef Antonescu,Human,Bard
Jalmari Atlasson,Dwarf ,Warpriest 
Eloise Una,Elf,Wizard
Domino,Human,Rogue
Oren Alistair,Human,Ranger
Everen Kovariae,Half-Elf,Warlock
Arnost Wayham,half-orc,Fighter
Paklan Crackingham,Dwarf,Wizard
Tydus Flinge,Water Genasi,Warlock
Bunkdongle,Gnome,Druid
Zamären,Aquatic Elf,Bard
Ezra C. Grim,High Elf,Wizard
Ferrous Boartusk,Human,Barbarian
Miriam Pendragon,half-elf,paladin
Geovanni Absolam,Half Elf,Sorcerer
Rattus,Centaur,Paladin
Fable,Tiefling,Cleric
Anton Zealot,Human,Wizard
Traurus,Undead human,Necromancer
Angriff,Wolf,Familiar
Dusklight,Half-elf,Mage
Covfefe Highhome,Gnome,Wizard
Winden Elindasil,Eladrin,Warlock
Li Wang,Human,Monk
Howard Flebger,Gnome,Wizard
Miramelle Whimsire,Gnome,Warlock
Calla Nibine,Half elf,Bard
Arita,Human,Merchant
Cup,Goblin,Thief
Nami,Wilden,Shaman
Rat'ogh,Giant,Barbarian
badoura,human,fighter
Alira Ronanel,half-elf,druid
Ibycus Balasi,Centaur,Bard
Grue Winefrond,Gnome,Monk
Raziel Salach,Aasimar,Druid
Kasimira Bryndell,human weretiger,totemist
Jenna Lightweaver,Gnome,Sorcerer
Marfyr Lorcyril,Half-Elf,Rogue
Hob,Human,Wizard
Lorcan Galanodel,elf,wizard
Erithin Stalkingwolf,wood elf,swift hunter
Nala Myastan,Dragonborn,Druid
Morgran Freeman,Dwarf,Fighter
Yew,Kobold,Druid
Crystal,Half-Elf,Wizard
Osborn Whyte,Halfling,Rogue
Duke Hamnbun XIV,Human,Rogue/Bard/Sorcerer
Nanek,Human,Druid
Mitch Tekere,Human,Fighter
Arjana Westrune,elf,monk
Droff the Scarlet Drake,Human,Fighter
Ygerna,Drow,Sorcerer
Carrick Bromson,Halfling,Druid/Bard
Lori,Human,Cleric
Shanar,Elf,Ranger
Hydra,Human,Rogue
Qaires,Human,Monk
Phedra,Human,Cleric
Holohan,Half-elf,Mage / Thief
Captain Gyt the gallant Buccaneer,Chaos Gnome,Swashbuckler
Hari,Human,Rogue
Ba'ar Tumbleweed,Goatfolk,Barbarian
Max Silverhands,Dwarf,Fighter
Thomas Bathory,Half-Elf,Paladin
Abigail Foy,Human,Warlock
Sonja Bauersdottir,Elf,Ranger
Ash Barakas,Genasi,Warlock
Most of the Morning,Tabaxi,Rogue
Charlotte von Silberberg,Elf,Wizard
Twigs,Gnome,Bard
Pha-Pha,Kenku,Fighter
Nibbler Hubshank,Halfling,Rogue
Mac Cheese,Dragonborn,Druid
Herrmann Thornscar,Human,Ranger
Mina Scias,Tiefling,Sorceress
Vox Populi,Aasimar,Bard
Zanril Silverclaw,Dragonborn,Fighter
Gilroy Norwood,Human,Wizard
Manius Winlark,Human,Bard
Sephrenia,Elf,Ranger
Kerrillian ,Wood Elf,Ranger
Nightwind,Half-Elf,Fighter
Faust Liadon,Half-elf,Warlock
Torgga,Dwarf,Barbarian
Keyleth Liadon,half-elf,cleric
Ember,Dragonborn,Wizard
Meef,Dwarf,Cleric
"Kroggl, the oozing grabber",Abomination,Brawler
Mazkah,half-orc,occultist
Aiofe,half-elf,cleric
Uthrikk the Spine-tingler,Orc,Ninja
Vojna Stonefist,Oread,Monk
Dor,half-elf,Barbarian
N'kedm Fatebringer,Dwarf,Monk
Cirdan,Aarakocra,Cleric
Quoth,Kenku,Paladin
Dakkon Ironhand,Dwarf,Warrior
Okk,Kobold,Bard
Lariel,High Elf,Sorceror
Leon Silverhome,Human,Warrior
Broo'dee,Aasimar,Paladin
Velliad,Half-Elf,Warlock
Nalak,Tiefling,Rogue
Ragnar Urser,Half Orc,Barbarian
Alastor Forte,Human,Cleric
Redius Kynet,Half Elf,Wizard
Tarkus Syrup,Tiefling ,Sorcerer 
Rella Fastfoot,Halfling,Rogue
Braeden Paar,human,cleric
look savatova,picker,assassin
ofgar,dwarf,barbarian
Alzok Rozok,Elf,Ranger
Ghibli Goblino,Goblin,Cleric
Oleg,human,barbarian
Thunders From Ocean,Tabaxi,Sorcerer
Erkan,Half-orc,Ranger
Paladin,Human,Ranger
Tiree,elf,monk
Saul,Human,Paladin
Senaron Garrox,Tiefling,Bard
Mah Nizzle,Forest Gnome,Bard
Arianna Margaretha Korinth,human,wizard/cleric
Emelia Knives,Changeling,Bard
Ailean Leafell,Elf,Fighter
Celeborn,elf,bard
Cadmius Bane,Human,Wizard
Uriel,human,wizard
Imrael,Human,Bard
Lorn Askavi,Dragonborn,Bard
Talking Heart,human,cleric
Duald,Human,Fighter
Staghind Starlight Aramioc-Blacksword,Half-Elf,Barbarian 
Carla Pannenbakker,human,fighter
Camelia Summerbrook,Halfling,Rogue
Dianata Silverscree,Dwarf,Fighter
Peter Entwhistle,Human,Wizard
Bessie Okambola,Human,Fighter
Farthorne The Wanderer,Human,Ranger
Tansy Willowherb,Gnome,Bard
Grubble Cinderbean,Goblin,Barbarian
Sildara Hallwinter,Human,Paladin
Amarys Wynne,Half elf ,Druid 
KP-X,Warforged,Ranger
Kaidiena,half-elf,ranger
Xarann,Drow,Barbarian
Mixolydia,half-elf,bard
Gaspar,Human,Wizard
Ezyr,black dragon,druid
Pieron Ciria,Half-elf,Monk
Evelyn,elf,cleric
Cressmul'rin Llarnbuss Zytherion,Drow,Wizard
Melia Tone,Dragonborn,Barbarian
Amandine Ocher,Elemental,Wizard
Javor,human,druid
Koa,orc,warblade
Sozen,orc,bard
Edelstan,Human,Ranger
Graussan Duukk,Half-orc,Cleric
Mercy,Tiefling,Rogue
Furna'il Dawncloak,elf,ranger
Rangrim Sunderskull,Dwarf,Barbarian
Silence,Tiefling,Warlock
Makaria,Tiefling,Warlock
Jacho Mard,Human,Ranger
Glorrak,Dwarf,Fighter
Durbat Ghâsh agh Burzum,Half-orc,Rogue
Telvos,Nagaji,Paladin
Dronak Harrowblade,duergar,favored soul
Clara,Human,Wizard
Bilbo Stabbins,Halfling,Rogue
Aurron Celric,Human,Warlock
Simon Galvant,Halfling,Sorcerer
Tembry Filchspike,gnome,sorcerer
Liliane Lethe Lilliara Letty-Lana Llaveran Lalonde,Gnome,Witch
Arthrisa,Half-Giant,Monk
Arthaniel Beldusk Kline,Half-elf,Swashbuckler
Zandrel Duskraven,drow,assassin
Azazel Mara,Tiefling,Rogue
Glaak Bloodhearth,orc,barbarian
Cinnia Hellebore,Half-elf,Druid
Ogrin stormwind,Goliath,Barbarian
Jac Emberlash,tiefling,warlock
Florence Beaumont,Human,Artificer
Ayaden Graves,Human,Barbarian
Jarec Cybon,human,warrior
Torgbor Redfang,kobold,duskblade
Nessima Galavir,Elf,Wizard
Mayflower Sandborn,Half-Elf,Warlock
Hanurius Rosegilt,aasimar,crusader
Summer Plum,kitsune,bard
Cheshya,halfling,warlock
Tez Reeshum,half-elf,cavalier
Bisil The Deathless,Elf,Wizard
Grognak,Orc,Barbarian
Dave,Halfling,Wizard
Raconis Enfury,dragonborn,paladin
Demitra,Half-elf,Favored Soul
Xiang Yun,Human,Monk
Keloran,Elf,Wizard
Saros,Halfling,Bard
Avery Blackthorn,Human,Fighter
Tesl,Elf,Cleric
Jahan,Human,Paladin
Jason Corning,Human,Fighter
Vivian Fanafir,Teifling,Sorcerer
Zarra,Dark elf,Cleric
Zangor,human,barbarian
Astrid Bellhammer,Dwarf,Warlock
Mill,Warforged,Warlock
Nyamh daughter of Telperion,Half-elf,Ranger
Rourke,Human,Hunter
Milo Thorngage ,Halfling,Rogue
Arabella Chastity Drake,Human,Bard
Sealamin Spektor,Half-elf,Summoner
Rain Blackbird,Half-elf,Bard
Misha,Halfling,Monk
Nubelin,Eladrin,Psion
Frodo mercury,Dragonborn,Bard
Aldrean Longfang,Human,Monk
